region_id,centerX,centerY,cluster,maxX,minX,maxY,minY
UPMC_c007_v001_r001_reg001,538,76,2,606,491,129,29
UPMC_c005_v001_r001_reg007,2371,637,9,2436,2320,692,577
UPMC_c001_v001_r001_reg037,1229,55,14,1407,1066,135,4
UPMC_c005_v001_r001_reg014,2576,1448,10,2683,2441,1580,1290
UPMC_c001_v001_r001_reg034,1090,876,8,1187,929,952,729
UPMC_c005_v001_r001_reg035,741,186,5,790,684,252,124
UPMC_c006_v001_r001_reg050,1309,1419,1,1426,1195,1580,1328
UPMC_c006_v001_r001_reg060,1012,313,2,1071,929,379,246
UPMC_c007_v001_r001_reg032,1499,1286,12,1576,1410,1364,1205
UPMC_c004_v001_r001_reg047,2261,2005,14,2449,2075,2011,1871
UPMC_c005_v001_r001_reg027,1685,1522,9,1760,1586,1596,1435
UPMC_c006_v001_r001_reg036,2404,1789,5,2463,2333,1854,1733
UPMC_c004_v001_r001_reg043,1313,228,12,1388,1241,307,151
UPMC_c005_v001_r001_reg003,1968,1085,2,2026,1899,1155,1020
UPMC_c005_v001_r001_reg053,1845,1166,5,1916,1780,1218,1099
UPMC_c003_v001_r001_reg022,472,84,12,539,385,156,21
UPMC_c005_v001_r001_reg014,1934,1572,14,2077,1749,1727,1383
UPMC_c005_v001_r001_reg051,2495,1084,3,2567,2387,1149,969
UPMC_c002_v001_r001_reg034,545,1146,8,626,464,1235,1079
UPMC_c001_v001_r001_reg033,896,1653,8,996,810,1734,1560
UPMC_c007_v001_r001_reg055,2477,841,5,2540,2410,914,748
UPMC_c007_v001_r001_reg056,471,879,14,615,329,1041,729
UPMC_c003_v001_r001_reg024,1445,924,1,1566,1360,1010,809
UPMC_c006_v001_r001_reg024,527,1116,1,604,472,1191,1038
UPMC_c001_v001_r001_reg005,9,1593,10,162,7,1790,1493
UPMC_c007_v001_r001_reg003,2564,1091,2,2634,2510,1153,1037
UPMC_c004_v001_r001_reg021,47,1131,9,110,8,1190,1054
UPMC_c002_v001_r001_reg008,1679,2000,7,1763,1496,2012,1929
UPMC_c004_v001_r001_reg050,1697,709,6,1802,1610,784,630
UPMC_c005_v001_r001_reg008,539,1843,14,690,382,1995,1705
UPMC_c003_v001_r001_reg004,923,1826,4,1028,820,1941,1710
UPMC_c006_v001_r001_reg056,221,381,3,322,81,476,278
UPMC_c001_v001_r001_reg034,1715,856,0,1813,1617,993,780
UPMC_c002_v001_r001_reg018,1592,963,1,1668,1508,1051,888
UPMC_c005_v001_r001_reg060,261,599,12,417,120,716,452
UPMC_c002_v001_r001_reg009,1584,55,4,1748,1448,112,6
UPMC_c005_v001_r001_reg006,2682,570,12,2684,2628,762,378
UPMC_c006_v001_r001_reg046,1944,428,3,2001,1882,483,358
UPMC_c004_v001_r001_reg013,1269,510,1,1403,1172,614,446
UPMC_c006_v001_r001_reg021,2480,2260,2,2538,2415,2332,2202
UPMC_c007_v001_r001_reg063,1408,1780,7,1520,1316,1861,1693
UPMC_c004_v001_r001_reg001,1251,105,5,1312,1184,159,32
UPMC_c003_v001_r001_reg013,1398,851,8,1570,1217,1048,681
UPMC_c005_v001_r001_reg007,155,1119,12,248,53,1237,948
UPMC_c001_v001_r001_reg020,242,1087,6,353,155,1180,999
UPMC_c006_v001_r001_reg056,919,1867,3,1026,765,1960,1712
UPMC_c005_v001_r001_reg050,2608,9,2,2669,2417,74,3
UPMC_c002_v001_r001_reg034,572,1268,1,632,488,1321,1212
UPMC_c004_v001_r001_reg033,887,2002,7,1039,690,2012,1934
UPMC_c007_v001_r001_reg004,1954,541,2,2014,1855,630,474
UPMC_c004_v001_r001_reg022,2269,239,8,2395,2218,310,158
UPMC_c002_v001_r001_reg011,872,927,6,977,780,1017,790
UPMC_c003_v001_r001_reg022,922,1924,4,1017,835,2010,1849
UPMC_c005_v001_r001_reg015,2645,783,10,2683,2561,922,651
UPMC_c006_v001_r001_reg032,1034,2508,12,1121,943,2584,2438
UPMC_c004_v001_r001_reg021,2453,1727,11,2538,2372,1847,1643
UPMC_c004_v001_r001_reg027,2662,528,9,2684,2594,636,399
UPMC_c005_v001_r001_reg052,1855,893,7,1925,1782,950,804
UPMC_c004_v001_r001_reg057,1751,1441,9,1821,1664,1518,1363
UPMC_c006_v001_r001_reg013,85,1322,2,168,22,1404,1258
UPMC_c005_v001_r001_reg057,2100,295,2,2190,2035,383,194
UPMC_c007_v001_r001_reg055,302,1946,2,359,241,2011,1867
UPMC_c006_v001_r001_reg061,766,1735,0,867,673,1844,1555
UPMC_c001_v001_r001_reg017,2287,1640,5,2387,2153,1758,1520
UPMC_c005_v001_r001_reg019,119,199,1,203,33,327,122
UPMC_c001_v001_r001_reg005,1071,535,1,1154,986,625,448
UPMC_c002_v001_r001_reg011,215,1006,0,311,97,1109,910
UPMC_c007_v001_r001_reg046,606,142,14,683,488,215,56
UPMC_c006_v001_r001_reg051,1864,2924,8,2044,1744,2956,2843
UPMC_c007_v001_r001_reg052,1604,505,11,1674,1539,582,427
UPMC_c004_v001_r001_reg038,1158,696,3,1231,1098,768,624
UPMC_c002_v001_r001_reg023,9,321,1,102,3,458,136
UPMC_c002_v001_r001_reg002,1053,244,8,1189,916,393,147
UPMC_c003_v001_r001_reg004,2679,432,1,2683,2600,602,342
UPMC_c005_v001_r001_reg060,2555,560,11,2666,2444,747,393
UPMC_c005_v001_r001_reg054,1424,1274,7,1520,1361,1330,1202
UPMC_c005_v001_r001_reg036,699,643,2,791,611,743,557
UPMC_c003_v001_r001_reg011,2552,775,0,2678,2380,898,668
UPMC_c007_v001_r001_reg058,1800,11,1,1978,1627,97,6
UPMC_c004_v001_r001_reg004,1161,721,4,1229,1082,806,640
UPMC_c005_v001_r001_reg044,841,1099,1,983,727,1199,1000
UPMC_c004_v001_r001_reg037,1137,327,8,1257,994,421,231
UPMC_c003_v001_r001_reg020,166,1226,9,233,82,1305,1159
UPMC_c007_v001_r001_reg060,188,386,8,298,78,503,281
UPMC_c007_v001_r001_reg003,1874,1599,6,1986,1742,1743,1490
UPMC_c006_v001_r001_reg038,1037,413,12,1112,956,496,233
UPMC_c004_v001_r001_reg047,1229,1690,6,1318,1157,1754,1617
UPMC_c007_v001_r001_reg053,916,37,14,984,745,127,2
UPMC_c001_v001_r001_reg002,1148,231,1,1239,1038,327,162
UPMC_c004_v001_r001_reg022,728,1563,6,812,610,1636,1470
UPMC_c006_v001_r001_reg061,2074,170,2,2201,1960,276,51
UPMC_c006_v001_r001_reg048,2184,2120,2,2243,2111,2206,2045
UPMC_c006_v001_r001_reg053,1435,2880,0,1543,1326,2970,2754
UPMC_c007_v001_r001_reg014,1538,1771,3,1614,1460,1835,1698
UPMC_c005_v001_r001_reg057,1618,1261,8,1757,1509,1393,1129
UPMC_c001_v001_r001_reg036,1087,1942,1,1180,1013,2010,1831
UPMC_c001_v001_r001_reg007,1148,1101,14,1254,1028,1204,1010
UPMC_c001_v001_r001_reg017,929,1657,1,1004,825,1738,1599
UPMC_c005_v001_r001_reg059,922,539,5,1048,831,618,415
UPMC_c005_v001_r001_reg057,1746,1791,12,1848,1669,1857,1675
UPMC_c007_v001_r001_reg009,1694,284,14,1788,1553,430,160
UPMC_c001_v001_r001_reg024,1564,1871,14,1647,1431,1977,1772
UPMC_c002_v001_r001_reg015,439,1805,1,578,326,1901,1722
UPMC_c002_v001_r001_reg005,1885,1781,9,1959,1830,1847,1681
UPMC_c005_v001_r001_reg036,2243,332,12,2336,2148,421,249
UPMC_c006_v001_r001_reg026,1127,1860,3,1180,1066,1918,1801
UPMC_c005_v001_r001_reg005,1322,472,5,1384,1257,528,405
UPMC_c001_v001_r001_reg006,196,1504,6,317,126,1679,1333
UPMC_c006_v001_r001_reg012,1431,51,9,1605,1303,126,5
UPMC_c007_v001_r001_reg046,1151,179,3,1245,1041,296,94
UPMC_c001_v001_r001_reg020,476,504,6,612,402,657,408
UPMC_c006_v001_r001_reg041,1897,2209,1,1958,1789,2296,2101
UPMC_c005_v001_r001_reg019,182,1033,5,229,129,1091,980
UPMC_c004_v001_r001_reg044,11,1169,6,76,4,1294,971
UPMC_c007_v001_r001_reg019,129,1350,14,209,49,1431,1273
