region_id,centerX,centerY,cluster,maxX,minX,maxY,minY
UPMC_c007_v001_r001_reg055,2311,829,3,2382,2241,896,778
UPMC_c004_v001_r001_reg050,497,635,3,566,432,704,549
UPMC_c006_v001_r001_reg066,2363,1491,11,2433,2288,1573,1394
UPMC_c007_v001_r001_reg054,348,983,9,425,277,1065,914
UPMC_c004_v001_r001_reg035,447,835,10,516,387,913,769
UPMC_c007_v001_r001_reg060,2273,225,3,2359,2176,318,126
UPMC_c006_v001_r001_reg047,509,169,11,668,408,292,81
UPMC_c002_v001_r001_reg010,2184,1268,13,2300,2057,1398,1162
UPMC_c003_v001_r001_reg018,2345,559,5,2414,2157,753,393
UPMC_c001_v001_r001_reg018,1227,1715,4,1316,1139,1800,1629
UPMC_c006_v001_r001_reg056,2037,1728,2,2133,1914,1833,1605
UPMC_c006_v001_r001_reg024,2384,1489,9,2447,2321,1532,1443
UPMC_c003_v001_r001_reg008,1279,389,13,1356,1182,456,323
UPMC_c003_v001_r001_reg011,1617,114,11,1692,1470,229,44
UPMC_c006_v001_r001_reg060,1486,618,2,1572,1424,690,553
UPMC_c007_v001_r001_reg061,120,498,12,258,20,682,333
UPMC_c006_v001_r001_reg048,423,1407,10,544,351,1539,1317
UPMC_c005_v001_r001_reg027,121,1356,1,205,54,1428,1295
UPMC_c005_v001_r001_reg005,1951,811,13,2006,1883,868,746
UPMC_c005_v001_r001_reg053,2112,1075,1,2176,2056,1126,1019
UPMC_c002_v001_r001_reg008,1340,1890,3,1393,1275,1951,1825
UPMC_c003_v001_r001_reg020,2230,129,5,2416,2146,238,9
UPMC_c006_v001_r001_reg013,702,1542,9,782,623,1634,1467
UPMC_c007_v001_r001_reg038,2101,1499,7,2188,2005,1586,1410
UPMC_c005_v001_r001_reg020,1488,160,5,1634,1349,291,8
UPMC_c002_v001_r001_reg035,2608,1024,0,2659,2516,1194,927
UPMC_c004_v001_r001_reg043,692,807,2,754,610,869,736
UPMC_c007_v001_r001_reg025,355,998,1,431,294,1068,948
UPMC_c004_v001_r001_reg035,1733,1003,10,1789,1675,1066,931
UPMC_c002_v001_r001_reg028,221,798,0,313,145,876,693
UPMC_c007_v001_r001_reg061,1345,1697,5,1458,1197,1838,1596
UPMC_c005_v001_r001_reg015,2202,1736,13,2336,2104,1838,1609
UPMC_c003_v001_r001_reg003,1763,1178,5,1925,1671,1348,1036
UPMC_c006_v001_r001_reg061,1777,1249,11,1892,1648,1403,1113
UPMC_c001_v001_r001_reg029,797,1281,10,923,706,1390,1198
UPMC_c001_v001_r001_reg037,815,743,7,898,735,846,650
UPMC_c006_v001_r001_reg063,504,737,7,632,387,884,609
UPMC_c003_v001_r001_reg004,97,486,7,189,5,554,394
UPMC_c007_v001_r001_reg008,919,1307,9,1049,827,1402,1224
UPMC_c001_v001_r001_reg032,2630,1700,6,2683,2432,1804,1546
UPMC_c002_v001_r001_reg023,1291,986,8,1374,1211,1078,910
UPMC_c007_v001_r001_reg003,1368,1440,0,1516,1261,1577,1330
UPMC_c007_v001_r001_reg046,2003,1653,10,2081,1921,1730,1591
UPMC_c002_v001_r001_reg019,830,813,13,895,756,928,737
UPMC_c004_v001_r001_reg032,2251,1353,3,2337,2141,1478,1277
UPMC_c006_v001_r001_reg024,546,2744,9,614,477,2801,2694
UPMC_c006_v001_r001_reg060,398,394,9,487,336,469,318
UPMC_c007_v001_r001_reg012,872,140,7,939,792,219,55
UPMC_c002_v001_r001_reg028,1437,1164,0,1548,1324,1272,1028
UPMC_c001_v001_r001_reg014,1121,1576,3,1190,1045,1642,1471
UPMC_c002_v001_r001_reg022,967,1013,11,1057,854,1089,911
UPMC_c004_v001_r001_reg032,707,1827,8,793,623,1932,1757
UPMC_c003_v001_r001_reg029,2448,666,10,2511,2368,735,604
UPMC_c002_v001_r001_reg015,2477,1177,6,2567,2317,1298,1004
UPMC_c001_v001_r001_reg010,1346,1991,11,1544,1169,2011,1886
UPMC_c006_v001_r001_reg028,25,1448,8,119,4,1631,1298
UPMC_c006_v001_r001_reg036,644,816,10,701,586,881,761
UPMC_c003_v001_r001_reg004,2195,542,7,2267,2114,620,443
UPMC_c002_v001_r001_reg007,2077,630,1,2160,1984,769,518
UPMC_c001_v001_r001_reg038,1898,1138,1,2044,1806,1235,1021
UPMC_c007_v001_r001_reg034,1197,93,3,1274,1143,167,6
UPMC_c006_v001_r001_reg038,1669,2443,1,1729,1607,2508,2380
UPMC_c004_v001_r001_reg029,314,1158,3,394,243,1223,1075
UPMC_c002_v001_r001_reg002,861,1278,13,954,772,1382,1171
UPMC_c005_v001_r001_reg009,1117,1647,9,1194,1066,1717,1573
UPMC_c001_v001_r001_reg024,1630,887,6,1715,1534,999,793
UPMC_c004_v001_r001_reg043,2281,243,1,2369,2194,358,157
UPMC_c005_v001_r001_reg058,1250,860,10,1346,1136,956,753
UPMC_c003_v001_r001_reg004,1194,322,12,1275,1114,410,252
UPMC_c005_v001_r001_reg059,2077,1315,13,2214,1996,1427,1213
UPMC_c003_v001_r001_reg008,2300,1276,0,2384,2211,1375,1212
UPMC_c006_v001_r001_reg012,651,1979,3,749,588,2060,1905
UPMC_c007_v001_r001_reg025,171,663,7,256,99,738,582
UPMC_c001_v001_r001_reg040,2590,1061,12,2679,2421,1245,872
UPMC_c007_v001_r001_reg004,1205,1208,7,1291,1073,1378,1105
UPMC_c004_v001_r001_reg037,2433,280,7,2528,2345,393,182
UPMC_c007_v001_r001_reg046,904,270,2,1004,811,347,178
UPMC_c004_v001_r001_reg050,2014,1042,1,2075,1917,1116,966
UPMC_c006_v001_r001_reg056,851,186,6,937,760,273,112
UPMC_c005_v001_r001_reg014,2268,312,12,2355,2197,392,208
UPMC_c007_v001_r001_reg046,935,1363,10,1004,867,1437,1279
UPMC_c005_v001_r001_reg058,61,621,10,126,4,697,556
UPMC_c007_v001_r001_reg050,1811,835,7,1908,1662,944,667
UPMC_c007_v001_r001_reg003,1054,1812,10,1201,954,1901,1693
UPMC_c001_v001_r001_reg034,980,979,7,1083,871,1042,877
UPMC_c004_v001_r001_reg015,326,1129,2,404,224,1192,1049
UPMC_c006_v001_r001_reg014,137,854,4,194,25,1023,688
UPMC_c003_v001_r001_reg007,2005,1561,4,2064,1934,1645,1443
UPMC_c007_v001_r001_reg050,1029,1024,7,1155,896,1099,845
UPMC_c001_v001_r001_reg010,1451,174,11,1531,1371,263,111
UPMC_c002_v001_r001_reg002,2543,415,4,2638,2458,487,335
UPMC_c006_v001_r001_reg014,580,2120,3,650,510,2169,2054
UPMC_c007_v001_r001_reg032,388,1004,9,478,312,1102,912
UPMC_c005_v001_r001_reg049,2598,932,13,2683,2518,992,853
UPMC_c004_v001_r001_reg043,1212,221,10,1295,1131,299,134
UPMC_c005_v001_r001_reg053,1727,1041,3,1804,1655,1100,969
UPMC_c006_v001_r001_reg014,1424,1587,8,1528,1302,1705,1488
UPMC_c001_v001_r001_reg039,712,1092,5,885,548,1263,919
UPMC_c001_v001_r001_reg009,1876,703,3,1947,1789,771,634
UPMC_c001_v001_r001_reg034,902,1793,5,1084,753,1937,1594
UPMC_c007_v001_r001_reg004,407,879,5,516,250,1006,744
UPMC_c006_v001_r001_reg029,2203,2072,7,2346,2064,2214,1942
UPMC_c004_v001_r001_reg002,774,1344,13,874,673,1477,1220
UPMC_c001_v001_r001_reg037,837,1917,9,919,762,2001,1828
UPMC_c003_v001_r001_reg011,831,1860,11,970,705,1974,1764
UPMC_c002_v001_r001_reg014,359,153,4,516,223,246,35
UPMC_c002_v001_r001_reg018,1717,767,11,1829,1588,869,673
UPMC_c005_v001_r001_reg017,1686,1298,2,1789,1581,1384,1219
UPMC_c005_v001_r001_reg052,1207,270,3,1271,1155,327,204
UPMC_c007_v001_r001_reg058,781,1187,6,960,647,1311,1006
UPMC_c007_v001_r001_reg055,320,650,0,391,237,738,564
UPMC_c007_v001_r001_reg014,1678,1983,13,1803,1484,2011,1919
UPMC_c001_v001_r001_reg040,1571,1158,4,1677,1444,1261,1047
UPMC_c001_v001_r001_reg016,348,1402,3,437,265,1505,1311
UPMC_c001_v001_r001_reg009,1614,867,6,1683,1533,950,776
UPMC_c002_v001_r001_reg034,645,1686,14,789,566,1831,1585
UPMC_c007_v001_r001_reg033,750,744,12,860,664,830,642
UPMC_c002_v001_r001_reg002,846,1501,10,907,762,1572,1415
UPMC_c006_v001_r001_reg019,1387,2903,3,1443,1327,2964,2846
UPMC_c006_v001_r001_reg062,1988,562,9,2087,1916,640,478
UPMC_c004_v001_r001_reg057,1456,962,10,1532,1385,1028,907
UPMC_c006_v001_r001_reg037,62,1562,0,130,5,1627,1499
UPMC_c002_v001_r001_reg006,537,821,6,607,435,979,724
UPMC_c006_v001_r001_reg066,185,1015,0,242,114,1071,954
UPMC_c006_v001_r001_reg043,28,639,7,108,3,832,510
UPMC_c007_v001_r001_reg050,1553,1682,12,1636,1444,1784,1566
UPMC_c007_v001_r001_reg043,1813,1365,4,1884,1735,1419,1300
UPMC_c002_v001_r001_reg027,1465,1941,12,1568,1359,2013,1882
UPMC_c006_v001_r001_reg042,886,1716,0,1060,730,1870,1565
UPMC_c003_v001_r001_reg028,1624,1710,7,1707,1555,1778,1654
UPMC_c002_v001_r001_reg010,775,1625,12,881,679,1736,1516
UPMC_c007_v001_r001_reg055,448,533,6,550,357,635,435
UPMC_c005_v001_r001_reg008,31,1434,10,107,3,1515,1316
UPMC_c002_v001_r001_reg007,590,1662,5,709,458,1769,1559
UPMC_c004_v001_r001_reg012,569,419,3,654,510,548,332
UPMC_c004_v001_r001_reg050,1090,1932,10,1179,1008,2008,1819
UPMC_c007_v001_r001_reg007,1272,1278,2,1337,1216,1348,1208
UPMC_c007_v001_r001_reg050,1738,1453,12,1826,1659,1544,1367
UPMC_c004_v001_r001_reg032,1421,926,8,1485,1356,1004,865
UPMC_c006_v001_r001_reg049,1924,425,5,2032,1841,528,330
UPMC_c007_v001_r001_reg058,2051,2005,6,2248,1877,2008,1828
UPMC_c002_v001_r001_reg002,2561,1238,6,2679,2390,1408,1111
UPMC_c006_v001_r001_reg036,1663,359,10,1735,1592,429,299
UPMC_c005_v001_r001_reg031,1101,372,13,1211,1006,445,219
UPMC_c007_v001_r001_reg029,93,1394,10,222,7,1503,1231
UPMC_c006_v001_r001_reg012,2040,1045,13,2182,1907,1134,890
UPMC_c002_v001_r001_reg028,2067,1081,11,2198,1954,1203,961
UPMC_c007_v001_r001_reg018,2130,119,0,2188,2045,194,40
UPMC_c007_v001_r001_reg063,2579,1124,8,2653,2524,1194,1051
UPMC_c005_v001_r001_reg021,1227,866,1,1336,1118,953,784
UPMC_c007_v001_r001_reg012,1174,687,2,1244,1094,780,603
UPMC_c001_v001_r001_reg041,89,1247,0,202,6,1339,1134
UPMC_c003_v001_r001_reg028,1189,783,6,1247,1130,853,716
UPMC_c003_v001_r001_reg022,2682,1358,0,2683,2622,1547,1161
UPMC_c003_v001_r001_reg005,2142,1159,0,2234,2055,1264,1053
UPMC_c003_v001_r001_reg025,891,1928,5,966,812,2012,1869
UPMC_c005_v001_r001_reg052,1059,573,2,1115,993,631,513
UPMC_c001_v001_r001_reg037,1548,444,0,1625,1481,514,382
